,,,,,,,,,,PAGE: 2,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0020100,ALLENDALE PD,6865,,,,,,,,,
,Number of Offenses,,0,0,0,0,8,26,4,38,11
,"Rate Per 100,000",,0,0,0,0,116.6,378.8,58.3,553.5,0
,Number of Clearances,,0,0,0,0,4,10,0,14,0
,Percent Cleared,,0,0,0,0,67,161,0,145,0
,Number of Arrests,,0,0,0,0,4,8,0,12,0
NJ0020200,ALPINE PD,1873,,,,,,,,,
,Number of Offenses,,0,0,0,0,2,2,4,8,11
,"Rate Per 100,000",,0,0,0,0,106.8,106.8,213.6,427.2,0
,Number of Clearances,,0,1,0,0,0,0,0,1,0
,Percent Cleared,,0,0,0,0,0,0,0,33,0
,Number of Arrests,,0,1,0,0,0,0,0,1,0
NJ0028900,BERGEN CO PROSECUTOR'S OFFICE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,11
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,1,0,0,0,8,0,1,10,0
NJ0020300,BERGENFIELD PD,27684,,,,,,,,,
,Number of Offenses,,1,1,0,13,11,62,2,90,12
,"Rate Per 100,000",,3.6,3.6,0,46.9,39.7,224,7.2,325.2,0
,Number of Clearances,,0,0,0,11,1,5,1,18,0
,Percent Cleared,,0,0,0,355,20,35,0,83,0
,Number of Arrests,,0,0,0,16,7,2,0,25,0
NJ0020400,BOGOTA PD,8499,,,,,,,,,
,Number of Offenses,,0,0,2,0,5,26,2,35,12
,"Rate Per 100,000",,0,0,23.6,0,58.8,305.9,23.6,411.8,0
,Number of Clearances,,0,0,0,0,2,6,1,9,0
,Percent Cleared,,0,0,0,0,83,75,100,78,0
,Number of Arrests,,0,0,0,0,2,1,2,5,0
NJ0020500,CARLSTADT PD,6252,,,,,,,,,
,Number of Offenses,,0,0,2,6,4,61,8,81,12
,"Rate Per 100,000",,0,0,32,96,64,975.6,128,1295.6,0
,Number of Clearances,,0,0,2,4,1,5,0,12,0
,Percent Cleared,,0,0,100,233,100,35,0,60,0
,Number of Arrests,,0,0,2,2,1,10,0,15,0
NJ0020600,CLIFFSIDE PARK PD,25001,,,,,,,,,
,Number of Offenses,,0,1,5,12,8,94,0,120,12
,"Rate Per 100,000",,0,4,20,48,32,376,0,480,0
,Number of Clearances,,0,1,3,12,3,20,0,39,0
,Percent Cleared,,0,100,200,400,75,87,0,132,0
,Number of Arrests,,0,0,2,9,3,14,0,28,0
NJ0020700,CLOSTER PD,8691,,,,,,,,,
,Number of Offenses,,0,1,0,4,0,39,4,48,12
,"Rate Per 100,000",,0,11.5,0,46,0,448.8,46,552.4,0
,Number of Clearances,,0,0,0,4,0,14,0,18,0
,Percent Cleared,,0,0,0,300,0,142,0,150,0
,Number of Arrests,,0,0,0,5,0,17,0,22,0
NJ0020800,CRESSKILL PD,8862,,,,,,,,,
,Number of Offenses,,0,1,1,0,6,18,4,30,12
,"Rate Per 100,000",,0,11.3,11.3,0,67.7,203.2,45.2,338.6,0
,Number of Clearances,,0,1,1,0,0,1,1,4,0
,Percent Cleared,,0,100,100,0,0,33,100,66,0
,Number of Arrests,,0,1,1,1,0,2,0,5,0
NJ0020900,DEMAREST PD,4977,,,,,,,,,
,Number of Offenses,,0,0,0,2,4,5,3,14,12
,"Rate Per 100,000",,0,0,0,40.2,80.4,100.5,60.3,281.4,0
,Number of Clearances,,0,0,0,2,1,1,2,6,0
,Percent Cleared,,0,0,0,200,100,100,200,175,0
,Number of Arrests,,0,0,0,2,1,0,0,3,0
NJ0021000,DUMONT PD,17825,,,,,,,,,
,Number of Offenses,,0,0,1,5,2,52,0,60,12
,"Rate Per 100,000",,0,0,5.6,28,11.2,291.7,0,336.5,0
,Number of Clearances,,0,0,0,3,2,8,0,13,0
,Percent Cleared,,0,0,0,150,200,56,0,79,0
,Number of Arrests,,0,0,0,4,1,7,1,13,0
NJ0021200,EAST RUTHERFORD PD,9941,,,,,,,,,
,Number of Offenses,,0,0,2,2,8,98,11,121,11
,"Rate Per 100,000",,0,0,20.2,20.2,80.5,985.8,110.6,1217.2,0
,Number of Clearances,,0,0,2,2,1,25,0,30,0
,Percent Cleared,,0,0,200,200,100,101,0,99,0
,Number of Arrests,,0,0,3,1,1,29,1,35,0
NJ0021300,EDGEWATER PD,12318,,,,,,,,,
,Number of Offenses,,0,1,2,1,11,134,4,153,11
,"Rate Per 100,000",,0,8.1,16.2,8.1,89.4,1087.8,32.4,1242.1,0
,Number of Clearances,,0,0,1,1,5,44,0,51,0
,Percent Cleared,,0,0,100,0,225,130,0,134,0
,Number of Arrests,,0,0,1,2,8,62,0,73,0
NJ0021100,ELMWOOD PARK PD,20277,,,,,,,,,
,Number of Offenses,,0,0,12,13,37,215,22,299,12
,"Rate Per 100,000",,0,0,59.2,64.2,182.5,1060.3,108.5,1474.6,0
,Number of Clearances,,0,0,7,10,9,21,1,48,0
,Percent Cleared,,0,0,250,340,90,38,17,64,0
,Number of Arrests,,0,0,7,10,8,28,0,53,0
NJ0021400,EMERSON PD,7679,,,,,,,,,
,Number of Offenses,,0,0,0,1,2,25,4,32,12
,"Rate Per 100,000",,0,0,0,13,26,325.6,52.1,416.7,0
,Number of Clearances,,0,0,0,1,0,6,2,9,0
,Percent Cleared,,0,0,0,100,0,111,100,145,0
,Number of Arrests,,0,0,0,1,0,6,1,8,0
NJ0021600,ENGLEWOOD CLIFFS PD,5395,,,,,,,,,
,Number of Offenses,,0,0,0,1,27,12,9,49,12
,"Rate Per 100,000",,0,0,0,18.5,500.4,222.4,166.8,908.1,0
,Number of Clearances,,0,0,0,0,2,0,0,2,0
,Percent Cleared,,0,0,0,0,36,0,0,18,0
,Number of Arrests,,0,0,0,0,2,0,0,2,0
NJ0021500,ENGLEWOOD PD,28988,,,,,,,,,
,Number of Offenses,,2,10,18,41,64,257,22,414,12
,"Rate Per 100,000",,6.9,34.4,62,141.4,220.7,886.6,75.8,1428.2,0
,Number of Clearances,,1,5,0,16,3,14,0,39,0
,Percent Cleared,,50,160,0,149,27,23,0,38,0
,Number of Arrests,,1,3,9,29,12,0,0,54,0
NJ0021700,FAIR LAWN PD,33413,,,,,,,,,
,Number of Offenses,,0,0,1,6,32,187,17,243,12
,"Rate Per 100,000",,0,0,3,18,95.7,559.6,50.9,727.2,0
,Number of Clearances,,0,0,0,5,12,66,1,84,0
,Percent Cleared,,0,0,0,275,148,144,14,141,0
,Number of Arrests,,0,0,0,5,13,66,2,86,0
NJ0021800,FAIRVIEW PD,14428,,,,,,,,,
,Number of Offenses,,1,1,11,14,38,104,10,179,12
,"Rate Per 100,000",,6.9,6.9,76.2,97.1,263.4,720.8,69.3,1240.6,0
,Number of Clearances,,1,0,2,9,6,24,1,43,0
,Percent Cleared,,100,0,29,261,64,93,17,95,0
,Number of Arrests,,0,0,2,10,9,25,1,47,0
NJ0021900,FORT LEE PD,37729,,,,,,,,,
,Number of Offenses,,0,2,6,17,57,238,27,347,12
,"Rate Per 100,000",,0,5.4,16.1,45.1,151.2,630.8,71.6,919.7,0
,Number of Clearances,,0,1,2,18,15,56,4,96,0
,Percent Cleared,,0,100,133,425,83,95,43,112,0
,Number of Arrests,,0,1,3,17,22,47,1,91,0
NJ0022000,FRANKLIN LAKES BORO PD,11191,,,,,,,,,
,Number of Offenses,,0,0,1,4,4,44,11,64,12
,"Rate Per 100,000",,0,0,8.9,35.7,35.7,393.2,98.2,571.9,0
,Number of Clearances,,0,0,1,4,1,6,0,12,0
,Percent Cleared,,0,0,100,200,33,54,0,72,0
,Number of Arrests,,0,0,1,0,1,8,0,10,0
NJ0022100,GARFIELD PD,32203,,,,,,,,,
,Number of Offenses,,1,9,16,25,58,532,30,671,12
,"Rate Per 100,000",,3.1,27.9,49.6,77.5,180.2,1651.9,93,2083.7,0
,Number of Clearances,,1,3,9,20,19,234,3,289,0
,Percent Cleared,,100,116,167,320,132,176,33,172,0
,Number of Arrests,,0,3,10,17,18,220,0,268,0
NJ0022200,GLEN ROCK PD,11937,,,,,,,,,
,Number of Offenses,,0,0,0,0,13,43,4,60,12
,"Rate Per 100,000",,0,0,0,0,109,360.3,33.6,502.6,0
,Number of Clearances,,0,0,0,0,4,10,0,14,0
,Percent Cleared,,0,0,0,0,103,106,0,107,0
,Number of Arrests,,0,0,0,0,2,11,0,13,0
NJ0022300,HACKENSACK PD,44926,,,,,,,,,
,Number of Offenses,,1,6,15,81,54,506,34,697,12
,"Rate Per 100,000",,2.2,13.4,33.5,180.2,120.3,1126.4,75.7,1551.4,0
,Number of Clearances,,1,2,4,54,13,89,6,169,0
,Percent Cleared,,100,150,183,265,94,71,71,97,0
,Number of Arrests,,1,1,4,51,14,86,7,164,0
NJ0022400,HARRINGTON PARK PD,4802,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,4,1,5,12
,"Rate Per 100,000",,0,0,0,0,0,83.2,20.8,104,0
,Number of Clearances,,0,0,0,0,0,0,0,0,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0022500,HASBROUCK HEIGHTS PD,12163,,,,,,,,,
,Number of Offenses,,0,0,0,3,3,60,0,66,12
,"Rate Per 100,000",,0,0,0,24.6,24.6,493.2,0,542.7,0
,Number of Clearances,,0,0,0,3,0,1,0,4,0
,Percent Cleared,,0,0,0,200,0,9,0,29,0
,Number of Arrests,,0,0,0,3,0,2,0,5,0
NJ0022600,HAWORTH PD,3463,,,,,,,,,
,Number of Offenses,,0,0,0,1,2,3,3,9,12
,"Rate Per 100,000",,0,0,0,28.9,57.8,86.7,86.7,260,0
,Number of Clearances,,0,0,0,1,2,0,0,3,0
,Percent Cleared,,0,0,0,100,100,0,0,150,0
,Number of Arrests,,0,0,0,1,2,0,0,3,0
NJ0022700,HILLSDALE PD,10484,,,,,,,,,
,Number of Offenses,,0,0,0,2,2,38,1,43,11
,"Rate Per 100,000",,0,0,0,19,19,362.5,9.5,410.2,0
,Number of Clearances,,0,0,0,1,0,7,0,8,0
,Percent Cleared,,0,0,0,100,0,74,0,67,0
,Number of Arrests,,0,0,0,2,0,7,0,9,0
NJ0022800,HO-HO-KUS PD,4139,,,,,,,,,
,Number of Offenses,,0,0,0,0,7,11,2,20,12
,"Rate Per 100,000",,0,0,0,0,169.1,265.8,48.4,483.2,0
,Number of Clearances,,0,0,0,0,1,3,0,4,0
,Percent Cleared,,0,0,0,0,50,70,0,64,0
,Number of Arrests,,0,0,0,1,0,1,0,2,0
NJ0022900,LEONIA PD,9175,,,,,,,,,
,Number of Offenses,,0,1,0,2,11,38,2,54,12
,"Rate Per 100,000",,0,10.9,0,21.8,119.9,414.2,21.8,588.6,0
,Number of Clearances,,0,1,0,2,3,1,0,7,0
,Percent Cleared,,0,100,0,200,125,9,0,75,0
,Number of Arrests,,0,1,0,4,2,3,0,10,0
NJ0023000,LITTLE FERRY PD,10895,,,,,,,,,
,Number of Offenses,,1,0,2,5,11,48,13,80,10
,"Rate Per 100,000",,9.2,0,18.4,45.9,101,440.6,119.3,734.2,0
,Number of Clearances,,1,0,0,1,0,3,0,5,0
,Percent Cleared,,100,0,0,100,0,16,0,27,0
,Number of Arrests,,1,0,0,5,0,2,0,8,0
NJ0023100,LODI PD,24720,,,,,,,,,
,Number of Offenses,,0,2,6,27,31,200,42,308,12
,"Rate Per 100,000",,0,8.1,24.3,109.3,125.4,809,170,1245.9,0
,Number of Clearances,,0,0,0,12,1,29,0,42,0
,Percent Cleared,,0,0,0,178,6,58,0,57,0
,Number of Arrests,,0,0,0,12,1,26,0,39,0
NJ0023200,LYNDHURST PD,22384,,,,,,,,,
,Number of Offenses,,0,0,6,7,5,127,18,163,12
,"Rate Per 100,000",,0,0,26.8,31.3,22.3,567.5,80.4,728.2,0
,Number of Clearances,,0,0,3,6,2,39,3,53,0
,Percent Cleared,,0,0,200,267,200,125,62,130,0
,Number of Arrests,,0,0,3,6,2,42,2,55,0
NJ0023300,MAHWAH TWP PD,26501,,,,,,,,,
,Number of Offenses,,0,3,0,5,10,90,15,123,12
,"Rate Per 100,000",,0,11.3,0,18.8,37.7,339.5,56.6,464,0
,Number of Clearances,,0,0,0,5,1,21,0,27,0
,Percent Cleared,,0,0,0,300,17,98,0,86,0
,Number of Arrests,,0,0,0,5,1,21,0,27,0
NJ0023400,MAYWOOD PD,9763,,,,,,,,,
,Number of Offenses,,0,0,2,3,7,48,1,61,11
,"Rate Per 100,000",,0,0,20.5,30.6,71.6,491.7,10.2,624.9,0
,Number of Clearances,,0,0,1,3,1,11,0,16,0
,Percent Cleared,,0,0,50,300,100,100,0,116,0
,Number of Arrests,,0,0,1,3,0,17,0,21,0
NJ0023500,MIDLAND PARK PD,7313,,,,,,,,,
,Number of Offenses,,0,0,0,2,0,34,4,40,12
,"Rate Per 100,000",,0,0,0,27.4,0,464.9,54.7,547,0
,Number of Clearances,,0,0,0,2,0,7,1,10,0
,Percent Cleared,,0,0,0,200,0,63,25,97,0
,Number of Arrests,,0,0,0,2,0,3,1,6,0
NJ0023600,MONTVALE PD,8729,,,,,,,,,
,Number of Offenses,,0,0,0,1,1,24,1,27,12
,"Rate Per 100,000",,0,0,0,11.5,11.5,274.9,11.5,309.3,0
,Number of Clearances,,0,0,0,1,1,6,0,8,0
,Percent Cleared,,0,0,0,100,100,199,0,202,0
,Number of Arrests,,0,0,0,1,2,4,0,7,0
NJ0023700,MOONACHIE PD,2774,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,26,1,28,12
,"Rate Per 100,000",,0,0,0,0,36,937.2,36,1009.3,0
,Number of Clearances,,0,0,0,0,0,1,0,1,0
,Percent Cleared,,0,0,0,0,0,11,0,9,0
,Number of Arrests,,0,1,0,0,0,3,0,4,0
NJ0023800,NEW MILFORD PD,16701,,,,,,,,,
,Number of Offenses,,0,0,0,1,7,48,3,59,11
,"Rate Per 100,000",,0,0,0,6,42,287.5,18,353.3,0
,Number of Clearances,,0,0,0,0,0,3,0,3,0
,Percent Cleared,,0,0,0,0,0,27,0,25,0
,Number of Arrests,,0,0,1,1,4,1,1,8,0
NJ0023900,NORTH ARLINGTON PD,15868,,,,,,,,,
,Number of Offenses,,0,0,2,12,9,104,15,142,10
,"Rate Per 100,000",,0,0,12.6,75.6,56.7,655.3,94.5,894.9,0
,Number of Clearances,,0,0,1,10,1,23,0,35,0
,Percent Cleared,,0,0,100,353,25,89,0,96,0
,Number of Arrests,,0,0,3,9,2,25,0,39,0
NJ0024000,NORTHVALE PD,4965,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,8,1,9,10
,"Rate Per 100,000",,0,0,0,0,0,161.1,20.1,181.2,0
,Number of Clearances,,0,0,0,0,0,5,0,5,0
,Percent Cleared,,0,0,0,0,0,267,0,267,0
,Number of Arrests,,0,0,0,0,0,4,0,4,0
NJ0024100,NORWOOD PD,5836,,,,,,,,,
,Number of Offenses,,0,1,0,0,6,10,3,20,12
,"Rate Per 100,000",,0,17.1,0,0,102.7,171.2,51.4,342.7,0
,Number of Clearances,,0,1,0,0,1,2,0,4,0
,Percent Cleared,,0,100,0,0,33,50,0,58,0
,Number of Arrests,,0,1,0,0,1,2,0,4,0
NJ0024200,OAKLAND PD,13102,,,,,,,,,
,Number of Offenses,,0,0,1,4,5,46,2,58,12
,"Rate Per 100,000",,0,0,7.6,30.6,38.2,351.1,15.3,442.6,0
,Number of Clearances,,0,0,1,2,1,3,0,7,0
,Percent Cleared,,0,0,0,100,50,16,0,46,0
,Number of Arrests,,0,0,2,2,1,3,0,8,0
NJ0024300,OLD TAPPAN PD,5998,,,,,,,,,
,Number of Offenses,,0,0,0,0,2,6,4,12,12
,"Rate Per 100,000",,0,0,0,0,33.4,100,66.7,200.1,0
,Number of Clearances,,0,0,0,0,0,0,1,1,0
,Percent Cleared,,0,0,0,0,0,0,100,25,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0024400,ORADELL PD,8243,,,,,,,,,
,Number of Offenses,,0,0,0,2,7,13,1,23,12
,"Rate Per 100,000",,0,0,0,24.2,84.8,157.7,12.1,279.1,0
,Number of Clearances,,0,0,0,1,1,2,0,4,0
,Percent Cleared,,0,0,0,100,100,29,0,39,0
,Number of Arrests,,0,0,0,2,2,2,0,6,0
NJNPIPP00,PALISADES INTER. PARKWAY PD,0,,,,,,,,,
,Number of Offenses,,0,0,0,1,0,1,0,2,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,1,0,0,0,1,0
,Percent Cleared,,0,0,0,100,0,0,0,50,0
,Number of Arrests,,0,0,0,3,0,3,0,6,0
NJ0024500,PALISADES PARK PD,20888,,,,,,,,,
,Number of Offenses,,0,1,3,10,18,73,5,110,11
,"Rate Per 100,000",,0,4.8,14.4,47.9,86.2,349.5,24,526.6,0
,Number of Clearances,,0,1,2,9,2,12,0,26,0
,Percent Cleared,,0,100,200,250,133,67,0,97,0
,Number of Arrests,,0,1,3,10,3,13,0,30,0
NJ0024600,PARAMUS PD,26744,,,,,,,,,
,Number of Offenses,,0,2,8,34,19,812,20,895,11
,"Rate Per 100,000",,0,7.4,29.9,127.2,71.1,3036.2,74.7,3346.6,0
,Number of Clearances,,0,2,5,13,2,484,2,508,0
,Percent Cleared,,0,200,130,157,33,239,33,226,0
,Number of Arrests,,1,0,10,20,6,464,9,510,0
NJ0024700,PARK RIDGE PD,8858,,,,,,,,,
,Number of Offenses,,0,0,1,0,2,5,1,9,12
,"Rate Per 100,000",,0,0,11.3,0,22.6,56.5,11.3,101.7,0
,Number of Clearances,,0,0,0,0,0,1,1,2,0
,Percent Cleared,,0,0,0,0,0,50,100,67,0
,Number of Arrests,,0,0,0,0,1,1,1,3,0
NJ0024800,RAMSEY PD,15126,,,,,,,,,
,Number of Offenses,,0,0,1,1,3,122,3,130,10
,"Rate Per 100,000",,0,0,6.6,6.6,19.8,806.6,19.8,859.4,0
,Number of Clearances,,0,0,0,1,1,21,0,23,0
,Percent Cleared,,0,0,0,100,100,156,0,140,0
,Number of Arrests,,0,0,0,2,1,27,0,30,0
NJ0024900,RIDGEFIELD BORO PD,11329,,,,,,,,,
,Number of Offenses,,0,0,0,6,3,38,8,55,12
,"Rate Per 100,000",,0,0,0,53,26.4,335.5,70.6,485.5,0
,Number of Clearances,,0,0,0,6,0,2,0,8,0
,Percent Cleared,,0,0,0,300,0,28,0,57,0
,Number of Arrests,,0,0,0,6,0,3,0,9,0
NJ0025000,RIDGEFIELD PARK PD,13028,,,,,,,,,
,Number of Offenses,,0,0,2,5,6,108,10,131,12
,"Rate Per 100,000",,0,0,15.4,38.5,46.1,829,76.8,1005.6,0
,Number of Clearances,,0,0,1,4,3,19,4,31,0
,Percent Cleared,,0,0,100,350,133,69,100,94,0
,Number of Arrests,,0,0,2,6,6,16,4,34,0
NJ0025100,RIDGEWOOD VILLAGE PD,25429,,,,,,,,,
,Number of Offenses,,0,0,2,11,22,108,13,156,12
,"Rate Per 100,000",,0,0,7.9,43.3,86.5,424.8,51,613.4,0
,Number of Clearances,,0,0,1,10,3,13,4,31,0
,Percent Cleared,,0,0,50,350,43,52,40,81,0
,Number of Arrests,,0,0,1,10,3,13,0,27,0
NJ0025200,RIVER EDGE PD,11611,,,,,,,,,
,Number of Offenses,,0,1,1,0,7,62,3,74,12
,"Rate Per 100,000",,0,8.6,8.6,0,60.3,534,25.8,637.3,0
,Number of Clearances,,0,0,0,0,1,17,0,18,0
,Percent Cleared,,0,0,0,0,25,111,0,96,0
,Number of Arrests,,0,0,0,0,1,16,0,17,0
NJ0025300,RIVER VALE PD,10157,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,18,1,20,12
,"Rate Per 100,000",,0,0,0,0,9.8,177.2,9.8,196.9,0
,Number of Clearances,,0,0,0,0,0,2,0,2,0
,Percent Cleared,,0,0,0,0,0,83,0,83,0
,Number of Arrests,,0,0,0,0,0,3,0,3,0
NJ0025400,ROCHELLE PARK PD,5648,,,,,,,,,
,Number of Offenses,,0,0,3,1,11,53,2,70,12
,"Rate Per 100,000",,0,0,53.1,17.7,194.7,938.5,35.4,1239.4,0
,Number of Clearances,,0,0,1,0,5,25,0,31,0
,Percent Cleared,,0,0,100,0,117,180,0,172,0
,Number of Arrests,,0,0,5,0,7,13,0,25,0
NJ0025600,RUTHERFORD PD,18617,,,,,,,,,
,Number of Offenses,,0,2,2,8,20,145,16,193,12
,"Rate Per 100,000",,0,10.8,10.8,43,107.4,778.9,86,1036.8,0
,Number of Clearances,,0,0,1,4,4,4,1,14,0
,Percent Cleared,,0,0,100,190,80,10,33,28,0
,Number of Arrests,,0,0,1,4,8,4,0,17,0
NJ0025700,SADDLE BROOK PD,14037,,,,,,,,,
,Number of Offenses,,0,0,1,0,5,194,1,201,11
,"Rate Per 100,000",,0,0,7.1,0,35.6,1382,7.1,1432,0
,Number of Clearances,,0,0,1,0,3,38,0,42,0
,Percent Cleared,,0,0,100,0,100,77,0,84,0
,Number of Arrests,,0,0,1,2,2,35,0,40,0
NJ0025800,SADDLE RIVER PD,3230,,,,,,,,,
,Number of Offenses,,0,0,0,2,5,22,3,32,12
,"Rate Per 100,000",,0,0,0,62,154.8,681,93,990.7,0
,Number of Clearances,,0,0,0,0,1,1,0,2,0
,Percent Cleared,,0,0,0,0,50,25,0,25,0
,Number of Arrests,,0,0,0,2,1,2,0,5,0
NJ0025900,SOUTH HACKENSACK PD,2473,,,,,,,,,
,Number of Offenses,,1,0,3,9,5,32,7,57,12
,"Rate Per 100,000",,40.4,0,121.3,363.9,202.1,1293.9,283,2305,0
,Number of Clearances,,1,0,3,9,3,28,5,49,0
,Percent Cleared,,100,0,100,400,100,419,267,357,0
,Number of Arrests,,0,0,5,8,5,14,1,33,0
NJ0026000,TEANECK PD,40939,,,,,,,,,
,Number of Offenses,,1,11,12,32,49,304,11,420,12
,"Rate Per 100,000",,2.4,26.8,29.3,78.1,119.7,742.6,26.8,1025.8,0
,Number of Clearances,,1,3,4,20,6,22,1,57,0
,Percent Cleared,,100,73,170,266,50,27,33,54,0
,Number of Arrests,,1,3,8,21,8,39,2,82,0
NJ0026100,TENAFLY PD,14742,,,,,,,,,
,Number of Offenses,,0,0,1,0,14,63,12,90,12
,"Rate Per 100,000",,0,0,6.8,0,95,427.4,81.5,610.5,0
,Number of Clearances,,0,0,0,0,1,7,1,9,0
,Percent Cleared,,0,0,0,0,14,40,17,40,0
,Number of Arrests,,0,0,0,0,3,6,1,10,0
NJ0026200,TETERBORO BOROUGH,68,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,99,3,102,12
,"Rate Per 100,000",,0,0,0,0,0,145588.2,4411.8,150000,0
,Number of Clearances,,0,0,0,0,0,40,0,40,0
,Percent Cleared,,0,0,0,0,0,167,0,161,0
,Number of Arrests,,0,0,0,0,0,39,0,39,0
NJ0026300,UPPER SADDLE RIVER PD,8330,,,,,,,,,
,Number of Offenses,,0,0,0,2,4,14,9,29,12
,"Rate Per 100,000",,0,0,0,24,48,168,108,348,0
,Number of Clearances,,0,0,0,2,2,3,0,7,0
,Percent Cleared,,0,0,0,200,100,50,0,124,0
,Number of Arrests,,0,0,0,2,1,3,0,6,0
NJ0026400,WALDWICK PD,10019,,,,,,,,,
,Number of Offenses,,0,0,0,2,5,48,4,59,12
,"Rate Per 100,000",,0,0,0,20,50,479.1,39.9,588.9,0
,Number of Clearances,,0,0,0,2,1,6,0,9,0
,Percent Cleared,,0,0,0,100,50,58,0,85,0
,Number of Arrests,,0,0,0,3,0,6,1,10,0
NJ0026500,WALLINGTON PD,11676,,,,,,,,,
,Number of Offenses,,0,0,2,7,6,112,9,136,10
,"Rate Per 100,000",,0,0,17.1,60.1,51.4,959.2,77.1,1164.8,0
,Number of Clearances,,0,0,2,6,0,34,3,45,0
,Percent Cleared,,0,0,100,375,0,118,75,127,0
,Number of Arrests,,0,0,3,6,0,31,3,43,0
NJ0026600,WASHINGTON TWP PD,9299,,,,,,,,,
,Number of Offenses,,0,0,0,1,1,14,2,18,11
,"Rate Per 100,000",,0,0,0,10.8,10.8,150.6,21.6,193.6,0
,Number of Clearances,,0,0,0,1,0,1,0,2,0
,Percent Cleared,,0,0,0,100,0,100,0,70,0
,Number of Arrests,,0,0,0,1,0,2,0,3,0
NJ0026700,WESTWOOD PD,11219,,,,,,,,,
,Number of Offenses,,0,0,0,0,22,44,3,69,11
,"Rate Per 100,000",,0,0,0,0,196.1,392.2,26.7,614.9,0
,Number of Clearances,,0,0,0,0,1,11,0,12,0
,Percent Cleared,,0,0,0,0,17,100,0,72,0
,Number of Arrests,,0,0,0,4,7,5,0,16,0
NJ0026800,WOODCLIFF LAKE PD,5844,,,,,,,,,
,Number of Offenses,,0,0,1,1,4,25,0,31,12
,"Rate Per 100,000",,0,0,17.1,17.1,68.4,427.7,0,530.6,0
,Number of Clearances,,0,0,0,1,1,4,0,6,0
,Percent Cleared,,0,0,0,100,33,70,0,90,0
,Number of Arrests,,0,0,0,1,1,6,0,8,0
NJ0026900,WOOD-RIDGE PD,9105,,,,,,,,,
,Number of Offenses,,0,0,0,1,1,43,1,46,12
,"Rate Per 100,000",,0,0,0,11,11,472.3,11,505.3,0
,Number of Clearances,,0,0,0,1,0,7,3,11,0
,Percent Cleared,,0,0,0,100,0,74,300,101,0
,Number of Arrests,,0,0,0,2,0,8,3,13,0
NJ0027000,WYCKOFF TWP PD,17161,,,,,,,,,
,Number of Offenses,,0,2,0,3,10,64,7,86,12
,"Rate Per 100,000",,0,11.6,0,17.5,58.3,372.9,40.7,501.2,0
,Number of Clearances,,0,1,0,3,1,12,0,17,0
,Percent Cleared,,0,100,0,200,25,71,0,82,0
,Number of Arrests,,0,0,0,3,1,9,0,13,0
,County Totals - Bergen County,,,,,,,,,,
,Population,941075,,,,,,,,,
,Number of Offenses,,9,60,157,462,826,6404,524,8442,0
,"Rate Per 100,000",,0.9,6.4,16.6,49.2,87.8,680.6,55.7,897.2,0
,Number of Clearances,,7,24,61,319,161,1648,53,2273,0
,Percent Cleared,,242,160,151,277,79,104,42,110,0
,Number of Arrests,,6,17,94,357,222,1600,46,2342,0
