,,,,,,,,,,PAGE: 11,
<< Back to Document Map,,,,,,,,,,,
,,,,,,,,,,,
ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,Total,Months
,,,,,,,,,,,
NJ0111800,COLLEGE OF NEW JERSEY,0,,,,,,,,,
,Number of Offenses,,0,3,0,1,3,48,4,59,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,1,0,0,3,4,0
,Percent Cleared,,0,0,0,100,0,0,100,34,0
,Number of Arrests,,0,0,0,2,0,1,3,6,0
NJ0225500,DEPT OF CORRECTIONS,0,,,,,,,,,
,Number of Offenses,,1,0,0,77,0,0,0,78,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,1,0,0,77,0,0,0,78,0
,Percent Cleared,,100,0,0,400,0,0,0,400,0
,Number of Arrests,,0,0,0,1,0,0,0,1,0
NJ0110100,EAST WINDSOR TWP PD,27401,,,,,,,,,
,Number of Offenses,,1,0,3,10,14,135,14,177,11
,"Rate Per 100,000",,3.6,0,10.9,36.3,51,492.6,51.1,646,0
,Number of Clearances,,1,1,5,9,2,50,2,70,0
,Percent Cleared,,100,0,400,313,117,141,50,154,0
,Number of Arrests,,1,1,2,9,5,56,2,76,0
NJ0110200,EWING TWP PD,36142,,,,,,,,,
,Number of Offenses,,0,4,20,36,76,385,46,567,12
,"Rate Per 100,000",,0,11.1,55.4,99.7,210.3,1065.3,127.3,1568.9,0
,Number of Clearances,,0,3,8,32,10,90,3,146,0
,Percent Cleared,,0,100,136,355,59,93,21,102,0
,Number of Arrests,,0,2,8,35,13,100,0,158,0
NJ0110300,HAMILTON TWP PD,87889,,,,,,,,,
,Number of Offenses,,0,13,39,43,224,996,93,1408,10
,"Rate Per 100,000",,0,14.8,44.4,48.9,254.8,1133.2,105.9,1602,0
,Number of Clearances,,0,2,0,15,10,36,0,63,0
,Percent Cleared,,0,133,0,134,18,12,0,17,0
,Number of Arrests,,0,5,10,25,23,134,8,205,0
NJ0110400,HIGHTSTOWN PD,5289,,,,,,,,,
,Number of Offenses,,0,3,1,2,2,19,1,28,12
,"Rate Per 100,000",,0,56.7,18.9,37.8,37.8,359.3,18.9,529.5,0
,Number of Clearances,,0,3,0,1,0,4,0,8,0
,Percent Cleared,,0,200,0,50,0,68,0,89,0
,Number of Arrests,,0,2,0,1,0,2,0,5,0
NJ0110500,HOPEWELL BOROUGH,1921,,,,,,,,,
,Number of Offenses,,0,0,0,0,2,10,1,13,12
,"Rate Per 100,000",,0,0,0,0,104.1,520.6,52.1,676.8,0
,Number of Clearances,,0,0,0,0,0,5,0,5,0
,Percent Cleared,,0,0,0,0,0,185,0,174,0
,Number of Arrests,,0,0,0,0,0,3,0,3,0
NJ0110600,HOPEWELL TWP PD,18000,,,,,,,,,
,Number of Offenses,,0,1,0,6,14,55,4,80,12
,"Rate Per 100,000",,0,5.6,0,33.4,77.9,305.6,22.3,444.5,0
,Number of Clearances,,0,0,0,4,0,10,0,14,0
,Percent Cleared,,0,0,0,300,0,74,0,71,0
,Number of Arrests,,0,0,0,5,0,8,0,13,0
NJ0118900,MERCER CO PROSECUTOR' OFF/ID UNIT,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,0,0,0,0,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,1,0,0,0,1,0
,Percent Cleared,,0,0,0,0,0,0,0,0,0
,Number of Arrests,,2,1,0,1,1,2,0,7,0
NJ0110000,MERCER CO SHERIFF'S DEPT,0,,,,,,,,,
,Number of Offenses,,0,0,0,2,1,6,7,16,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,2,1,5,7,15,0
,Percent Cleared,,0,0,0,100,100,350,300,375,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0111900,NJ DEPARTMENT OF HUMAN SERVICES,0,,,,,,,,,
,Number of Offenses,,0,2,0,43,1,23,0,69,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,3,0,36,1,9,0,49,0
,Percent Cleared,,0,0,0,330,100,151,0,272,0
,Number of Arrests,,0,0,0,21,1,0,0,22,0
NJ0227500,NJ DIV CRIMINAL JUSTICE - TRENTON,0,,,,,,,,,
,Number of Offenses,,0,0,0,2,0,0,0,2,10
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,2,0,0,0,2,0
,Percent Cleared,,0,0,0,100,0,0,0,100,0
,Number of Arrests,,0,0,0,0,0,0,0,0,0
NJ0111700,NJ DIVISION OF FISH & WILDLIFE,0,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,6,0,7,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,0,1,0,0,1,0
,Percent Cleared,,0,0,0,0,100,0,0,50,0
,Number of Arrests,,0,0,0,0,1,0,0,1,0
NJ0110800,PENNINGTON BORO PD,2554,,,,,,,,,
,Number of Offenses,,0,0,0,0,1,3,2,6,9
,"Rate Per 100,000",,0,0,0,0,39.2,117.5,78.3,235,0
,Number of Clearances,,0,0,0,0,0,1,2,3,0
,Percent Cleared,,0,0,0,0,0,50,100,133,0
,Number of Arrests,,0,0,0,0,0,1,0,1,0
NJ0111000,PRINCETON PD,31856,,,,,,,,,
,Number of Offenses,,0,1,0,9,45,190,3,248,12
,"Rate Per 100,000",,0,3.1,0,28.2,141.3,596.4,9.3,778.4,0
,Number of Clearances,,0,0,0,11,6,29,0,46,0
,Percent Cleared,,0,0,0,533,61,63,0,75,0
,Number of Arrests,,0,1,1,9,8,28,0,47,0
NJ011509E,PRINCETON UNIVERSITY POLICE,0,,,,,,,,,
,Number of Offenses,,0,0,1,1,5,179,37,223,12
,"Rate Per 100,000",,0,0,0,0,0,0,0,0,0
,Number of Clearances,,0,0,0,1,0,20,1,22,0
,Percent Cleared,,0,0,0,100,0,43,9,40,0
,Number of Arrests,,0,0,0,1,0,7,1,9,0
NJ0111200,ROBBINSVILLE TOWNSHIP POLICE,14710,,,,,,,,,
,Number of Offenses,,0,2,0,0,6,43,2,53,12
,"Rate Per 100,000",,0,13.6,0,0,40.8,292.4,13.6,360.4,0
,Number of Clearances,,0,1,0,0,2,9,1,13,0
,Percent Cleared,,0,50,0,0,67,39,100,62,0
,Number of Arrests,,0,0,0,8,7,3,2,20,0
NJ0111100,TRENTON PD,83753,,,,,,,,,
,Number of Offenses,,15,68,300,551,361,1143,246,2684,12
,"Rate Per 100,000",,18,81.2,358.2,657.9,431,1364.7,293.7,3204.6,0
,Number of Clearances,,9,28,65,290,52,122,10,576,0
,Percent Cleared,,274,157,91,214,60,43,18,87,0
,Number of Arrests,,13,25,65,262,51,88,11,515,0
NJ0111300,WEST WINDSOR TWP PD,28277,,,,,,,,,
,Number of Offenses,,0,0,4,7,46,259,5,321,12
,"Rate Per 100,000",,0,0,14.1,24.7,162.7,916,17.7,1135.2,0
,Number of Clearances,,0,0,4,7,1,59,0,71,0
,Percent Cleared,,0,0,300,300,9,91,0,89,0
,Number of Arrests,,0,0,6,6,21,94,0,127,0
,County Totals - Mercer County,,,,,,,,,,
,Population,370436,,,,,,,,,
,Number of Offenses,,17,105,373,809,833,3702,479,6318,0
,"Rate Per 100,000",,4.7,28.9,102.2,223.4,228.4,1017.1,131.9,1736.8,0
,Number of Clearances,,11,41,85,503,94,515,32,1281,0
,Percent Cleared,,282,153,93,251,50,58,30,84,0
,Number of Arrests,,16,37,97,404,141,590,28,1313,0
